filename for_count for_with_if_count for_with_switch_count for_with_array_references_count for_with_function_calls_count nested_for_count while_count while_with_if_count while_with_switch_count while_with_array_references_count while_with_function_calls_count stmts_inside_loop total_stmts
fs/cramfs/inode.c 5 4 0 4 0 0 2 2 0 1 0 65 255
fs/cramfs/cramfs.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_cp936.c 0 0 0 0 0 0 0 0 0 0 0 0 279
fs/nls/nls_iso8859-1.c 0 0 0 0 0 0 0 0 0 0 0 0 20
fs/nls/mac-centeuro.c 0 0 0 0 0 0 0 0 0 0 0 0 26
fs/nls/mac-romanian.c 0 0 0 0 0 0 0 0 0 0 0 0 28
fs/nls/nls_cp932.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_iso8859-6.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_iso8859-2.c 0 0 0 0 0 0 0 0 0 0 0 0 22
fs/nls/nls_cp949.c 0 0 0 0 0 0 0 0 0 0 0 0 309
fs/nls/nls_cp1251.c 0 0 0 0 0 0 0 0 0 0 0 0 23
fs/nls/mac-roman.c 0 0 0 0 0 0 0 0 0 0 0 0 29
fs/nls/nls_cp1255.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/mac-iceland.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/mac-turkish.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_iso8859-7.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_cp950.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_cp865.c 0 0 0 0 0 0 0 0 0 0 0 0 26
fs/nls/nls_cp737.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_koi8-u.c 0 0 0 0 0 0 0 0 0 0 0 0 24
fs/nls/nls_cp1250.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_cp874.c 0 0 0 0 0 0 0 0 0 0 0 0 23
